,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Free Cash Flow,6745000000.0,3501000000.0,5370000000.0,6051000000.0
Repurchase Of Capital Stock,-676000000.0,-439000000.0,-496000000.0,-196000000.0
Repayment Of Debt,-1301000000.0,-800000000.0,-94000000.0,-3200000000.0
Issuance Of Debt,917000000.0,0.0,229000000.0,4129000000.0
Capital Expenditure,-4323000000.0,-3891000000.0,-3588000000.0,-2810000000.0
Interest Paid Supplemental Data,125000000.0,145000000.0,149000000.0,124000000.0
Income Tax Paid Supplemental Data,2234000000.0,1940000000.0,1527000000.0,1052000000.0
End Cash Position,13700000000.0,10203000000.0,11258000000.0,12277000000.0
Beginning Cash Position,10203000000.0,11258000000.0,12277000000.0,8384000000.0
Effect Of Exchange Rate Changes,15000000.0,-249000000.0,46000000.0,70000000.0
Changes In Cash,3482000000.0,-806000000.0,-1065000000.0,3823000000.0
Financing Cash Flow,-2614000000.0,-4283000000.0,-6488000000.0,-1147000000.0
Cash Flow From Continuing Financing Activities,-2614000000.0,-4283000000.0,-6488000000.0,-1147000000.0
Net Other Financing Charges,-303000000.0,-1546000000.0,-379000000.0,-401000000.0
Cash Dividends Paid,-1251000000.0,-1498000000.0,-5748000000.0,-1479000000.0
Common Stock Dividend Paid,-1251000000.0,,,-1479000000.0
Net Common Stock Issuance,-676000000.0,-439000000.0,-496000000.0,-196000000.0
Common Stock Payments,-676000000.0,-439000000.0,-496000000.0,-196000000.0
Net Issuance Payments Of Debt,-384000000.0,-800000000.0,135000000.0,929000000.0
Net Short Term Debt Issuance,-18000000.0,,41000000.0,137000000.0
Short Term Debt Payments,-935000000.0,,,
Short Term Debt Issuance,917000000.0,,41000000.0,
Net Long Term Debt Issuance,-366000000.0,-800000000.0,94000000.0,929000000.0
Long Term Debt Payments,-366000000.0,-800000000.0,-94000000.0,-3200000000.0
Long Term Debt Issuance,,0.0,188000000.0,4129000000.0
Investing Cash Flow,-4972000000.0,-3915000000.0,-3535000000.0,-3891000000.0
Cash Flow From Continuing Investing Activities,-4972000000.0,-3915000000.0,-3535000000.0,-3891000000.0
Net Other Investing Changes,36000000.0,-48000000.0,-62000000.0,30000000.0
Net Investment Purchase And Sale,-685000000.0,24000000.0,115000000.0,52000000.0
Sale Of Investment,937000000.0,1145000000.0,1446000000.0,1678000000.0
Purchase Of Investment,-1622000000.0,-1121000000.0,-1331000000.0,-1626000000.0
Net Business Purchase And Sale,,0.0,0.0,-1163000000.0
Purchase Of Business,,0.0,0.0,-1163000000.0
Net PPE Purchase And Sale,-4323000000.0,-3891000000.0,-3588000000.0,-2810000000.0
Purchase Of PPE,-4323000000.0,-3891000000.0,-3588000000.0,-2810000000.0
Operating Cash Flow,11068000000.0,7392000000.0,8958000000.0,8861000000.0
Cash Flow From Continuing Operating Activities,11068000000.0,7392000000.0,8958000000.0,8861000000.0
Change In Working Capital,1018000000.0,-1563000000.0,1003000000.0,2198000000.0
Change In Other Working Capital,172000000.0,549000000.0,1057000000.0,728000000.0
Change In Payables And Accrued Expense,-382000000.0,1891000000.0,1838000000.0,2261000000.0
Change In Payable,-382000000.0,1891000000.0,1838000000.0,2261000000.0
Change In Account Payable,-382000000.0,1891000000.0,1838000000.0,2261000000.0
Change In Inventory,1228000000.0,-4003000000.0,-1892000000.0,-791000000.0
Other Non Cash Items,907000000.0,453000000.0,371000000.0,236000000.0
Stock Based Compensation,774000000.0,724000000.0,665000000.0,619000000.0
Asset Impairment Charge,495000000.0,,,
Deferred Tax,,-37000000.0,59000000.0,104000000.0
Deferred Income Tax,,-37000000.0,59000000.0,104000000.0
Depreciation Amortization Depletion,2077000000.0,1900000000.0,1781000000.0,1645000000.0
Depreciation And Amortization,2077000000.0,1900000000.0,1781000000.0,1645000000.0
Net Income From Continuing Operations,6292000000.0,5915000000.0,5079000000.0,4059000000.0
