,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-435000000.0,1073000000.0,413409000.0,-275999000.0
Repayment Of Debt,0.0,-911000000.0,-3844110000.0,-3805845000.0
Issuance Of Debt,581000000.0,617064000.0,2816871000.0,2814827000.0
Issuance Of Capital Stock,168000000.0,1444000000.0,,0.0
Capital Expenditure,-3059000000.0,-1766000000.0,-592488000.0,-772818000.0
End Cash Position,2352000000.0,2939000000.0,908077000.0,997315000.0
Beginning Cash Position,2939000000.0,908000000.0,997315000.0,843978000.0
Effect Of Exchange Rate Changes,5000000.0,-8000000.0,3773000.0,-3399000.0
Changes In Cash,-592000000.0,2039000000.0,-93011000.0,156736000.0
Financing Cash Flow,842000000.0,650000000.0,-732743000.0,-683832000.0
Cash Flow From Continuing Financing Activities,842000000.0,650000000.0,-732743000.0,-683832000.0
Net Other Financing Charges,93000000.0,117000000.0,294496000.0,307186000.0
Net Common Stock Issuance,168000000.0,1444000000.0,,0.0
Common Stock Issuance,168000000.0,1444000000.0,,0.0
Net Issuance Payments Of Debt,581000000.0,-911000000.0,-1027239000.0,-991018000.0
Net Long Term Debt Issuance,581000000.0,-911000000.0,-1027239000.0,-991018000.0
Long Term Debt Payments,0.0,-911000000.0,-3844110000.0,-3805845000.0
Long Term Debt Issuance,581000000.0,617064000.0,2816871000.0,2814827000.0
Investing Cash Flow,-4058000000.0,-1450000000.0,-366165000.0,343749000.0
Cash Flow From Continuing Investing Activities,-4058000000.0,-1450000000.0,-366165000.0,343749000.0
Net Other Investing Changes,-999000000.0,316000000.0,,31782000.0
Dividends Received Cfi,,,2548000.0,1962000.0
Net Investment Purchase And Sale,-996000000.0,,-261000.0,2638000.0
Sale Of Investment,306000000.0,,0.0,4020000.0
Purchase Of Investment,-1302000000.0,,-261000.0,-1382000.0
Net Business Purchase And Sale,0.0,0.0,4133000.0,832627000.0
Sale Of Business,0.0,0.0,4133000.0,832627000.0
Net Intangibles Purchase And Sale,,-104771000.0,-143200000.0,-184884000.0
Purchase Of Intangibles,,-104771000.0,-143200000.0,-184884000.0
Net PPE Purchase And Sale,-3059000000.0,-1766000000.0,-229385000.0,-335776000.0
Sale Of PPE,41000000.0,323665000.0,219903000.0,252158000.0
Purchase Of PPE,-3059000000.0,-1766000000.0,-449288000.0,-587934000.0
Operating Cash Flow,2624000000.0,2839000000.0,1005897000.0,496819000.0
Cash Flow From Continuing Operating Activities,2624000000.0,2839000000.0,1005897000.0,496819000.0
Taxes Refund Paid,,-6778000.0,-28244000.0,-1804000.0
Interest Received Cfo,,700000.0,3886000.0,15196000.0
Interest Paid Cfo,,-100693000.0,-145528000.0,-196351000.0
Change In Working Capital,-175000000.0,1230000000.0,59392000.0,-284845000.0
Change In Payables And Accrued Expense,60000000.0,1818992000.0,-133594000.0,-98810000.0
Change In Payable,60000000.0,1818992000.0,-133594000.0,-98810000.0
Change In Account Payable,,1828946000.0,-154514000.0,-96868000.0
Change In Tax Payable,,-9954000.0,20920000.0,-1942000.0
Change In Income Tax Payable,,-9954000.0,20920000.0,-1942000.0
Change In Inventory,-261000000.0,-201732000.0,-559876000.0,-42325000.0
Change In Receivables,35000000.0,-387448000.0,752862000.0,-143710000.0
Changes In Account Receivables,35000000.0,-387448000.0,752862000.0,-143710000.0
Other Non Cash Items,-352000000.0,151000000.0,55574000.0,82236000.0
Stock Based Compensation,181000000.0,223402000.0,980000.0,0.0
Unrealized Gain Loss On Investment Securities,,,-3800000.0,0.0
Asset Impairment Charge,0.0,0.0,22672000.0,63950000.0
Deferred Tax,82000000.0,93000000.0,-37749000.0,214272000.0
Deferred Income Tax,82000000.0,93000000.0,-37749000.0,214272000.0
Depreciation Amortization Depletion,1623000000.0,1619000000.0,2522514000.0,2678224000.0
Depreciation And Amortization,1623000000.0,1619000000.0,2522514000.0,2678224000.0
Amortization Cash Flow,,207426000.0,284109000.0,242325000.0
Amortization Of Intangibles,,207426000.0,284109000.0,242325000.0
Depreciation,,1411418000.0,2238405000.0,2435899000.0
Operating Gains Losses,-506000000.0,-19103000.0,-92940000.0,-702873000.0
Earnings Losses From Equity Investments,,,-42346000.0,-7859000.0
Gain Loss On Investment Securities,,,-327000.0,486000.0
Net Foreign Currency Exchange Gain Loss,,,28999000.0,12860000.0
Gain Loss On Sale Of PPE,-103000000.0,-19103000.0,-79266000.0,-702873000.0
Gain Loss On Sale Of Business,-403000000.0,,,
Net Income From Continuing Operations,1446000000.0,-254000000.0,-1350860000.0,-1371186000.0
